eps,clean_acc,adv_acc
0.0,99.4140625,99.4140625
0.05,99.4140625,94.82421875
0.1,99.4140625,50.09765625
0.15,99.4140625,27.44140625
0.2,99.4140625,18.26171875
0.3,99.4140625,10.64453125
